ModelName,ModelLibrary,DatasetName,TotalImages,FloatAcc,QuantAcc,Size[MB],BitsConfig,QuantTechnique,TPC
mobilenet_v2,torchvision_lib,ImageNet,50000,0.7215,0.7188,3.47,W8A8,PTQ,default_pytorch_tpc-v4
regnet_y_400mf,torchvision_lib,ImageNet,50000,0.7578,0.7542,4.31,W8A8,PTQ,default_pytorch_tpc-v4
shufflenet_v2_x0_5,torchvision_lib,ImageNet,50000,0.6055,0.597,1.36,W8A8,PTQ,default_pytorch_tpc-v4
squeezenet1_0,torchvision_lib,ImageNet,50000,0.581,0.5767,1.24,W8A8,PTQ,default_pytorch_tpc-v4
regnetx_002,timm_lib,ImageNet,50000,0.6876,0.6827,2.67,W8A8,PTQ,default_pytorch_tpc-v4
regnety_008,timm_lib,ImageNet,50000,0.7632,0.7598,6.23,W8A8,PTQ,default_pytorch_tpc-v4
resnet10t,timm_lib,ImageNet,50000,0.6656,0.6643,5.43,W8A8,PTQ,default_pytorch_tpc-v4
resnet18,timm_lib,ImageNet,50000,0.6976,0.6961,11.68,W8A8,PTQ,default_pytorch_tpc-v4
efficientnet_es,timm_lib,ImageNet,50000,0.7808,0.7774,5.39,W8A8,PTQ,default_pytorch_tpc-v4
yolov8n,ultralytics,COCO,5000,0.3704,0.3617,3.15,W8A8,PTQ,default_pytorch_tpc-v4
yolov8m,ultralytics,COCO,5000,0.4999,0.494,25.9,W8A8,PTQ,default_pytorch_tpc-v4
mobilenet_v2.MobileNetV2,keras_applications,ImageNet,50000,0.7185,0.7157,3.47,W8A8,PTQ,default_keras_tpc-v4
efficientnet_v2.EfficientNetV2B0,keras_applications,ImageNet,50000,0.7841,0.7744,7.06,W8A8,PTQ,default_keras_tpc-v4
resnet50.ResNet50,keras_applications,ImageNet,50000,0.7422,0.7408,25.5,W8A8,PTQ,default_keras_tpc-v4
